,id,neighborhood,latitude,longitude,price,size_in_sqft,no_of_bedrooms,no_of_bathrooms,quality
0,5528049,Palm Jumeirah,25.113208,55.138932,2700000,1079,1,2,1
1,6008529,Palm Jumeirah,25.106809,55.151201,2850000,1582,2,2,1
2,6034542,Jumeirah Lake Towers,25.063302,55.137728,1150000,1951,3,5,1
3,6326063,Culture Village,25.227295,55.341761,2850000,2020,2,3,0
4,6356778,Palm Jumeirah,25.114275,55.139764,1729200,507,0,1,1
5,6356784,Palm Jumeirah,25.114275,55.139764,3119900,1015,1,2,1
6,6356790,Palm Jumeirah,25.114275,55.139764,8503600,2062,2,3,2
7,6356797,Palm Jumeirah,25.114275,55.139764,3119900,1015,1,2,1
8,6376886,Palm Jumeirah,25.106668,55.149275,2100000,2186,3,3,0
9,6406935,Downtown Dubai,25.194935,55.282665,2690000,1521,2,3,1
10,6473651,Downtown Dubai,25.198796,55.271342,3550000,1918,3,4,0
11,6493425,Dubai Marina,25.075017000000003,55.137997,2094999,1058,2,3,0
12,6493433,Dubai Marina,25.075017000000003,55.137997,1049999,609,1,2,0
13,6493447,Palm Jumeirah,25.132519,55.151574,1849000,1071,1,1,1
14,6505084,Palm Jumeirah,25.132445,55.152216,2089999,1051,1,1,1
15,6526806,Palm Jumeirah,25.132021,55.151405,2349990,1109,1,1,1
16,6526808,Palm Jumeirah,25.132021,55.151405,3499000,1633,2,2,1
17,6530645,Downtown Dubai,25.198316,55.270757999999994,2700000,1348,2,3,1
18,6562472,Downtown Dubai,25.19702,55.271023,1490000,1167,2,2,1
19,6587672,Business Bay,25.180301,55.263892000000006,950000,894,1,2,1
20,6666254,Dubai Marina,25.072396,55.132386,1100000,985,2,2,1
21,6715521,Dubai Marina,25.079783,55.13904599999999,1390000,1307,2,4,0
22,6728311,Downtown Dubai,25.197316,55.274196,3999900,2323,3,4,1
23,6768809,Dubai Marina,25.08377,55.145075,3349000,3930,3,4,0
24,6786263,Palm Jumeirah,25.132021,55.151405,8470000,5232,3,3,1
25,6799796,Dubai Marina,25.084331,55.141679,2499000,2490,3,4,1
26,6810606,Downtown Dubai,25.194282,55.271884,2800000,1712,2,3,1
27,6814944,Dubai Marina,25.074958,55.138542,8500000,5079,4,4,1
