,neighborhood,latitude,longitude,size_in_sqft,price_per_sqft,no_of_bedrooms,no_of_bathrooms,quality
0,Palm Jumeirah,25.113208,55.138932,1079,2502.32,1,2,2
1,Palm Jumeirah,25.106809,55.151201,1582,1801.52,2,2,2
2,Jumeirah Lake Towers,25.063302,55.137728,1951,589.44,3,5,2
3,Culture Village,25.227295,55.341761,2020,1410.89,2,3,1
4,Palm Jumeirah,25.114275,55.139764,507,3410.65,0,1,2
5,Palm Jumeirah,25.114275,55.139764,1015,3073.79,1,2,2
6,Palm Jumeirah,25.114275,55.139764,2062,4123.96,2,3,3
7,Palm Jumeirah,25.114275,55.139764,1015,3073.79,1,2,2
8,Palm Jumeirah,25.106668,55.149275,2186,960.66,3,3,1
9,Downtown Dubai,25.194935,55.282665,1521,1768.57,2,3,2
10,Downtown Dubai,25.198796,55.271342,1918,1850.89,3,4,1
11,Dubai Marina,25.075017000000003,55.137997,1058,1980.15,2,3,1
12,Dubai Marina,25.075017000000003,55.137997,609,1724.14,1,2,1
13,Palm Jumeirah,25.132519,55.151574,1071,1726.42,1,1,2
14,Palm Jumeirah,25.132445,55.152216,1051,1988.58,1,1,2
15,Palm Jumeirah,25.132021,55.151405,1109,2119.02,1,1,2
16,Palm Jumeirah,25.132021,55.151405,1633,2142.68,2,2,2
17,Downtown Dubai,25.198316,55.270757999999994,1348,2002.97,2,3,2
18,Downtown Dubai,25.19702,55.271023,1167,1276.78,2,2,2
19,Business Bay,25.180301,55.263892000000006,894,1062.64,1,2,2
20,Dubai Marina,25.072396,55.132386,985,1116.75,2,2,2
21,Dubai Marina,25.079783,55.13904599999999,1307,1063.5,2,4,1
22,Downtown Dubai,25.197316,55.274196,2323,1721.87,3,4,2
23,Dubai Marina,25.08377,55.145075,3930,852.16,3,4,1
24,Palm Jumeirah,25.132021,55.151405,5232,1618.88,3,3,2
25,Dubai Marina,25.084331,55.141679,2490,1003.61,3,4,2
26,Downtown Dubai,25.194282,55.271884,1712,1635.51,2,3,2
27,Dubai Marina,25.074958,55.138542,5079,1673.56,4,4,2
28,Downtown Dubai,25.191719,55.270677,1543,1215.17,2,3,1
29,Old Town,25.190044,55.277388,938,1359.28,1,2,1
30,Al Kifaf,25.233787,55.294217,999,1467.24,1,2,2
31,Palm Jumeirah,25.106809,55.151201,1646,765.49,2,3,1
32,Meydan,25.158305,55.296535,1084,1279.33,2,3,2
33,Culture Village,25.227295,55.341761,3048,1476.38,2,3,2
34,Arjan,25.06031,55.241403000000005,796,942.21,1,1,3
35,Arjan,25.06031,55.241403000000005,1162,852.84,2,2,3
36,Jumeirah Beach Residence,25.07359,55.126352,1966,1831.13,3,3,1
37,Dubai Marina,25.075017000000003,55.137997,1786,1469.76,3,4,1
38,Dubai Creek Harbour (The Lagoons),25.204631,55.343456999999994,900,1411.11,1,2,2
39,Dubai Creek Harbour (The Lagoons),25.206345,55.345142,1168,1196.92,1,2,1
40,Dubai Marina,25.074439,55.133386,1002,1791.42,1,2,2
41,Old Town,25.190275,55.278378,1221,1310.4,2,3,1
42,Palm Jumeirah,25.114333,55.13750600000001,549,1912.57,0,1,1
43,Greens,25.091487,55.172015,1133,1015.0,2,2,1
44,City Walk,25.200221,55.264588,1191,1511.34,1,2,2
45,Al Furjan,25.02985,55.15156,1861,725.42,3,4,2
46,Dubai Creek Harbour (The Lagoons),25.20573,55.34511,1582,1137.8,2,3,1
47,Business Bay,25.185337,55.2763,1168,2014.68,2,3,2
48,Dubai Marina,25.089393,55.147796,3172,882.72,4,5,1
49,DAMAC Hills,25.016736,55.25101,451,809.31,0,1,2
50,Palm Jumeirah,25.132519,55.151574,935,2117.65,1,1,2
51,Dubai Marina,25.086376,55.14736,775,2967.74,1,2,2
52,Dubai Marina,25.086575,55.147768000000006,1277,1722.79,2,3,2
53,Dubai Creek Harbour (The Lagoons),25.204631,55.343456999999994,981,1294.6,1,2,1
54,Jumeirah Beach Residence,25.072954,55.128089,1703,1556.08,2,2,1
55,Jumeirah Lake Towers,25.065736,55.137452,450,833.33,0,1,2
56,Jumeirah Golf Estates,25.029767,55.206417,1367,841.26,2,3,1
57,Business Bay,25.183133,55.25658000000001,1965,1221.37,3,4,2
58,Business Bay,25.183133,55.25658000000001,1358,1251.84,2,3,2
59,Business Bay,25.183133,55.25658000000001,1367,1250.8,2,3,2
60,Jumeirah,25.215192,55.235827,2631,4561.0,3,5,2
61,Dubai Hills Estate,25.109367,55.247980000000005,1993,928.25,3,4,2
62,Umm Suqeim,25.137409,55.188956999999995,1365,1531.14,2,3,1
63,Meydan,25.145181,55.288017,1535,928.34,2,3,1
64,Dubai Marina,25.070605,55.133230000000005,1350,1181.48,2,2,1
65,Dubai Marina,25.086376,55.14736,627,1555.02,1,1,2
66,Jumeirah Beach Residence,25.072954,55.128089,1672,2033.49,2,3,2
67,Business Bay,25.189124,55.26418,2197,933.09,3,4,1
68,Motor City,25.046147,55.249375,1670,595.81,2,1,1
69,Dubai Hills Estate,25.109367,55.247980000000005,1182,1099.83,2,3,2
70,Motor City,25.046147,55.249375,1670,658.68,2,3,2
71,DAMAC Hills,25.019361,55.252762,851,881.32,1,2,1
72,DIFC,25.212018,55.278772,1755,1139.6,2,2,2
73,Downtown Dubai,25.19331,55.280919,1903,1571.2,3,4,1
74,Palm Jumeirah,25.108728,55.142382,1717,1397.79,2,3,2
75,Downtown Dubai,25.194935,55.282665,1360,1911.76,2,3,1
76,Dubai Marina,25.083121,55.141064,1477,1354.1,2,3,2
77,Downtown Dubai,25.186457,55.277512,1622,1109.74,2,3,1
78,Downtown Dubai,25.196593,55.269631,774,1201.55,1,2,1
79,Palm Jumeirah,25.132445,55.152216,1572,2035.62,2,3,2
80,Jumeirah Village Circle,25.066791,55.203684,732,975.41,1,1,3
81,Dubai Marina,25.072396,55.132386,1300,826.92,3,3,2
82,Downtown Dubai,25.197316,55.274196,1133,2029.92,1,2,2
83,Dubai Marina,25.088431,55.146759,1180,1016.95,2,2,2
84,Dubai Marina,25.08377,55.145075,1440,1059.03,2,3,1
85,City Walk,25.204462,55.262161,1685,1602.37,2,2,2
86,Jumeirah Beach Residence,25.07851,55.136283,779,1046.21,1,1,1
87,Jumeirah Lake Towers,25.080143,55.152381000000005,971,885.68,1,2,2
88,Barsha Heights (Tecom),25.100994,55.178291,1450,827.59,2,1,2
89,Jumeirah Beach Residence,25.07359,55.126352,763,1703.8,1,1,1
90,Downtown Dubai,25.197316,55.274196,1135,1850.22,1,1,3
91,Downtown Dubai,25.187622,55.278946999999995,1974,1063.83,3,5,1
92,Palm Jumeirah,25.132445,55.152216,1051,1998.1,1,1,2
93,Downtown Dubai,25.197316,55.274196,826,2542.37,1,2,1
94,Palm Jumeirah,25.132021,55.151405,1633,2142.68,2,2,2
95,Dubai Marina,25.086726,55.145205,2609,2108.09,4,5,1
96,Dubai Marina,25.081243,55.14512,1579,1329.96,2,3,1
97,DIFC,25.211032,55.28205,1526,1209.04,2,2,1
98,Al Barari,25.100921,55.313162,1964,916.5,1,2,3
99,Dubai Production City (IMPZ),25.034774,55.20175,1256,477.71,2,3,2
100,Downtown Dubai,25.200926000000003,55.280912,753,1533.86,1,2,2
101,The Hills,25.07868,55.15786899999999,1436,1458.91,2,3,2
102,Downtown Dubai,25.195461,55.269463,1438,1321.28,2,3,2
103,Palm Jumeirah,25.111433,55.136798,1490,1208.05,1,2,1
104,Palm Jumeirah,25.111229,55.136449,1490,1208.05,1,2,1
105,Jumeirah Village Circle,25.049282,55.205381,1400,635.71,1,2,1
106,Palm Jumeirah,25.132021,55.151405,1724,2088.17,2,3,2
107,Dubai Marina,25.081622,55.141977,1346,1370.73,2,2,2
108,DIFC,25.212018,55.278772,1623,1139.86,2,3,1
109,Palm Jumeirah,25.104117,55.148473,2990,1670.57,3,4,2
110,Palm Jumeirah,25.112604,55.143347,2201,1363.02,3,4,2
111,Business Bay,25.176728,55.271595,458,1331.88,0,1,1
112,City Walk,25.205218,55.262688,1734,1643.6,2,4,2
113,City Walk,25.205218,55.262688,1950,1700.0,2,4,1
114,Downtown Dubai,25.196398,55.271002,1209,1488.83,2,3,2
115,Downtown Dubai,25.196398,55.271002,1354,1550.96,2,3,2
116,Downtown Dubai,25.191753,55.27281800000001,860,1627.91,1,2,1
117,Old Town,25.189554,55.273782999999995,1338,1718.98,2,3,1
118,Business Bay,25.185823000000003,55.291922,1442,1595.01,2,3,2
119,The Views,25.090953,55.16954200000001,1336,999.25,2,2,1
120,Downtown Dubai,25.187093,55.278912,1891,1163.41,3,4,1
